,1,2,3,4,5,6,clone,day,donutFrac,n,nNotDonut,replicate
3,0.4543493889288282,0.2135154565061107,0.1757728253055356,0.102803738317757,0.040258806613946804,0.013299784327821711,B2,6d,0.0288028802880288,3333,2782,1
12,0.3360258481421648,0.2617124394184168,0.1987075928917609,0.11954765751211632,0.048465266558966075,0.035541195476575124,B3,6d,0.007905138339920948,759,619,1
19,0.5523446019629226,0.2410032715376227,0.13249727371864775,0.05070883315158124,0.014176663031624863,0.009269356597600873,L2.5,6d,0.001413094677343382,2123,1834,1
28,0.4435967302452316,0.3188010899182561,0.14931880108991827,0.05885558583106267,0.019618528610354225,0.009809264305177113,L2.8,6d,0.0013736263736263737,2184,1835,1
34,0.33408071748878926,0.242152466367713,0.23094170403587444,0.12331838565022421,0.04708520179372197,0.02242152466367713,P2.3,6d,0.017657992565055763,1076,892,1
43,0.3550156739811912,0.28605015673981193,0.2084639498432602,0.09717868338557993,0.03526645768025078,0.018025078369905956,P2.4,6d,0.01454775458570525,1581,1276,1
51,0.22417786012042612,0.24641037517369152,0.24687355257063456,0.1505326540064845,0.07920333487725799,0.052802223251505326,S2,6d,0.02037292817679558,2896,2159,1
60,0.373125374925015,0.28374325134973005,0.1913617276544691,0.10017996400719856,0.03839232153569286,0.013197360527894421,S3,6d,0.013691683569979716,1972,1667,1
68,0.262992125984252,0.2866141732283465,0.23622047244094488,0.14330708661417324,0.04094488188976378,0.029921259842519685,UI,6d,0.0036101083032490976,831,635,1
75,0.2974828375286041,0.22654462242562928,0.2448512585812357,0.17162471395881007,0.038901601830663615,0.020594965675057208,W1.1,6d,0.022304832713754646,538,437,1
82,0.3075550267697799,0.2724568709101725,0.22367638310529447,0.12671029149315882,0.04759071980963712,0.022010707911957167,W1.4,6d,0.029261495587552252,2153,1681,1
89,0.4403391883706844,0.2543912780133253,0.1732283464566929,0.08903694730466384,0.02786190187764991,0.015142337976983646,W2.6,6d,0.008849557522123894,1921,1651,1
